ImageID,label
1,2
2,0
3,9
4,9
5,2
6,9
7,0
8,3
9,0
10,3
11,5
12,2
13,7
14,0
15,7
16,5
17,3
18,1
19,9
20,0
21,7
22,1
23,1
24,7
25,7
26,1
27,1
28,7
29,1
30,9
31,7
32,5
33,7
34,3
35,6
36,2
37,4
38,7
39,1
40,5
41,9
42,7
43,4
44,9
45,2
46,7
47,1
48,3
49,1
50,1
51,6
52,3
53,1
54,3
55,5
56,2
57,1
58,2
59,1
60,7
61,4
62,1
63,9
64,0
65,6
66,0
67,1
68,9
69,0
70,1
71,4
72,5
73,3
74,3
75,2
76,5
77,8
78,9
79,2
80,5
81,4
82,7
83,1
84,0
85,9
86,3
87,4
88,3
89,4
90,9
91,1
92,0
93,0
94,6
95,1
96,1
97,3
98,9
99,7
100,1
101,0
102,1
103,2
104,0
105,9
106,1
107,0
108,5
109,0
110,9
111,0
112,0
113,9
114,1
115,1
116,2
117,1
118,1
119,8
120,3
121,3
122,9
123,2
124,1
125,1
126,1
127,3
128,1
129,2
130,9
131,3
132,9
133,1
134,0
135,0
136,0
137,3
138,1
139,3
140,8
141,2
142,3
143,1
144,5
145,5
146,8
147,7
148,4
149,2
150,9
151,1
152,9
153,7
154,8
155,9
156,2
157,9
158,5
159,7
160,8
161,3
162,0
163,4
164,5
165,1
166,2
167,1
168,6
169,3
170,0
171,3
172,7
173,7
174,6
175,1
176,3
177,9
178,2
179,1
180,2
181,7
182,8
183,5
184,2
185,4
186,7
187,1
188,1
189,1
190,0
191,6
192,1
193,4
194,9
195,6
196,0
197,9
198,7
199,6
200,9
201,1
202,9
203,0
204,1
205,9
206,0
207,8
208,4
209,6
210,2
211,0
212,9
213,3
214,0
215,9
216,2
217,1
218,0
219,3
220,4
221,1
222,3
223,1
224,0
225,2
226,9
227,1
228,6
229,1
230,0
231,0
232,4
233,9
234,1
235,1
236,3
237,2
238,3
239,9
240,6
241,3
242,0
243,2
244,5
245,7
246,5
247,7
248,8
249,1
250,9
251,4
252,7
253,1
254,7
255,9
256,4
257,8
258,1
259,4
260,5
261,6
262,3
263,3
264,8
265,7
266,0
267,6
268,8
269,3
270,1
271,6
272,0
273,6
274,3
275,9
276,3
277,1
278,3
279,8
280,7
281,0
282,9
283,2
284,3
285,5
286,1
287,7
288,1
289,9
290,9
291,9
292,7
293,9
294,9
295,9
296,6
297,3
298,0
299,3
300,3
301,6
302,9
303,8
304,2
305,1
306,9
307,7
308,1
309,9
310,5
311,8
312,9
313,1
314,0
315,0
316,9
317,1
318,2
319,1
320,9
321,9
322,1
323,1
324,9
325,3
326,9
327,4
328,1
329,3
330,9
331,4
332,3
333,1
334,3
335,0
336,9
337,0
338,9
339,6
340,0
341,6
342,5
343,1
344,1
345,2
346,0
347,0
348,5
349,0
350,8
351,6
352,7
353,7
354,2
355,7
356,2
357,3
358,9
359,9
360,1
361,3
362,0
363,3
364,3
365,9
366,1
367,9
368,4
369,1
370,6
371,1
372,0
373,9
374,9
375,7
376,4
377,4
378,9
379,3
380,1
381,6
382,7
383,5
384,9
385,2
386,4
387,2
388,1
389,3
390,9
391,1
392,7
393,9
394,9
395,4
396,1
397,1
398,1
399,9
400,3
401,9
402,9
403,6
404,1
405,1
406,1
407,9
408,1
409,9
410,5
411,0
412,0
413,4
414,1
415,2
416,9
417,1
418,1
419,3
420,1
421,9
422,0
423,0
424,5
425,3
426,1
427,1
428,9
429,9
430,2
431,4
432,8
433,9
434,2
435,5
436,1
437,3
438,9
439,9
440,5
441,1
442,9
443,7
444,9
445,9
446,4
447,1
448,5
449,3
450,9
451,9
452,7
453,6
454,9
455,9
456,9
457,2
458,3
459,1
460,0
461,1
462,9
463,5
464,6
465,7
466,1
467,7
468,4
469,4
470,1
471,1
472,4
473,9
474,5
475,9
476,7
477,1
478,1
479,1
480,0
481,4
482,3
483,1
484,2
485,9
486,9
487,7
488,1
489,3
490,1
491,8
492,9
493,3
494,9
495,1
496,7
497,0
498,1
499,3
500,0
501,6
502,3
503,9
504,4
505,1
506,2
507,3
508,3
509,6
510,6
511,7
512,0
513,8
514,7
515,9
516,3
517,1
518,7
519,9
520,2
521,2
522,9
523,0
524,1
525,1
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,3
534,8
535,1
536,5
537,6
538,5
539,9
540,2
541,0
542,2
543,2
544,1
545,0
546,9
547,0
548,9
549,2
550,1
551,1
552,9
553,3
554,3
555,0
556,0
557,7
558,9
559,6
560,1
561,9
562,3
563,8
564,1
565,0
566,3
567,1
568,1
569,1
570,4
571,1
572,7
573,3
574,6
575,6
576,4
577,8
578,4
579,4
580,0
581,5
582,1
583,7
584,1
585,9
586,1
587,7
588,9
589,8
590,0
591,2
592,9
593,1
594,9
595,2
596,5
597,4
598,6
599,0
600,3
601,1
602,1
603,9
604,1
605,0
606,1
607,8
608,7
609,6
610,1
611,9
612,4
613,3
614,3
615,3
616,4
617,7
618,0
619,0
620,9
621,9
622,5
623,9
624,4
625,0
626,3
627,1
628,3
629,6
630,2
631,2
632,1
633,8
634,4
635,1
636,4
637,9
638,7
639,3
640,3
641,2
642,9
643,9
644,6
645,7
646,3
647,9
648,9
649,1
650,8
651,9
652,7
653,0
654,3
655,8
656,2
657,1
658,3
659,3
660,7
661,2
662,3
663,4
664,0
665,9
666,1
667,1
668,3
669,3
670,6
671,3
672,7
673,1
674,3
675,5
676,7
677,7
678,2
679,1
680,0
681,6
682,9
683,3
684,1
685,1
686,3
687,2
688,6
689,9
690,9
691,2
692,6
693,0
694,1
695,4
696,4
697,3
698,9
699,8
700,3
701,1
702,6
703,8
704,0
705,6
706,0
707,9
708,7
709,1
710,5
711,1
712,3
713,1
714,5
715,9
716,4
717,6
718,3
719,1
720,2
721,9
722,3
723,1
724,0
725,1
726,9
727,6
728,9
729,9
730,7
731,9
732,1
733,3
734,2
735,1
736,9
737,1
738,0
739,1
740,5
741,1
742,8
743,3
744,1
745,3
746,9
747,9
748,1
749,3
750,1
751,4
752,9
753,4
754,1
755,1
756,1
757,7
758,1
759,1
760,8
761,9
762,0
763,4
764,0
765,9
766,0
767,6
768,5
769,1
770,8
771,6
772,5
773,0
774,1
775,5
776,3
777,9
778,6
779,3
780,1
781,1
782,6
783,9
784,1
785,3
786,9
787,5
788,1
789,8
790,5
791,1
792,6
793,1
794,0
795,9
796,3
797,1
798,6
799,7
800,9
801,1
802,1
803,3
804,1
805,1
806,9
807,9
808,6
809,9
810,1
811,5
812,9
813,2
814,1
815,2
816,4
817,0
818,7
819,9
820,1
821,3
822,3
823,0
824,0
825,1
826,9
827,0
828,9
829,5
830,2
831,1
832,9
833,5
834,9
835,3
836,9
837,6
838,1
839,9
840,1
841,1
842,9
843,0
844,2
845,1
846,5
847,7
848,2
849,3
850,5
851,7
852,7
853,9
854,7
855,2
856,8
857,1
858,3
859,9
860,3
861,0
862,4
863,1
864,1
865,2
866,3
867,0
868,9
869,2
870,3
871,4
872,9
873,4
874,3
875,3
876,3
877,1
878,1
879,0
880,1
881,4
882,9
883,1
884,1
885,2
886,1
887,1
888,9
889,9
890,4
891,1
892,1
893,6
894,3
895,4
896,2
897,7
898,7
899,1
900,1
901,5
902,3
903,3
904,9
905,4
906,1
907,4
908,3
909,2
910,1
911,4
912,0
913,4
914,1
915,1
916,5
917,9
918,6
919,1
920,5
921,1
922,3
923,8
924,7
925,4
926,9
927,9
928,2
929,6
930,3
931,3
932,2
933,1
934,4
935,5
936,3
937,9
938,9
939,9
940,3
941,6
942,0
943,6
944,1
945,0
946,9
947,5
948,1
949,9
950,2
951,6
952,9
953,7
954,9
955,3
956,1
957,3
958,3
959,0
960,4
961,9
962,9
963,9
964,0
965,9
966,3
967,1
968,8
969,9
970,5
971,3
972,2
973,9
974,0
975,1
976,7
977,3
978,6
979,7
980,4
981,3
982,1
983,7
984,9
985,1
986,7
987,0
988,5
989,1
990,2
991,1
992,9
993,9
994,6
995,2
996,3
997,6
998,2
999,2
1000,9
1001,0
1002,9
1003,0
1004,9
1005,1
1006,3
1007,4
1008,6
1009,1
1010,5
1011,2
1012,5
1013,9
1014,1
1015,5
1016,7
1017,6
1018,3
1019,9
1020,9
1021,5
1022,9
1023,9
1024,6
1025,2
1026,6
1027,1
1028,5
1029,7
1030,1
1031,1
1032,1
1033,1
1034,4
1035,4
1036,5
1037,0
1038,1
1039,0
1040,0
1041,1
1042,6
1043,1
1044,9
1045,1
1046,1
1047,7
1048,1
1049,0
1050,6
1051,3
1052,0
1053,1
1054,5
1055,9
1056,1
1057,1
1058,3
1059,6
1060,3
1061,0
1062,0
1063,4
1064,0
1065,9
1066,9
1067,9
1068,2
1069,1
1070,9
1071,0
1072,1
1073,9
1074,6
1075,9
1076,2
1077,0
1078,1
1079,3
1080,9
1081,3
1082,0
1083,2
1084,3
1085,9
1086,9
1087,6
1088,6
1089,3
1090,1
1091,3
1092,1
1093,0
1094,1
1095,1
1096,6
1097,9
1098,3
1099,8
1100,3
1101,7
1102,2
1103,9
1104,1
1105,3
1106,9
1107,0
1108,6
1109,4
1110,6
1111,9
1112,2
1113,4
1114,1
1115,0
1116,0
1117,2
1118,0
1119,1
1120,1
1121,1
1122,5
1123,4
1124,1
1125,4
1126,3
1127,9
1128,6
1129,1
1130,1
1131,5
1132,5
1133,8
1134,5
1135,3
1136,6
1137,1
1138,1
1139,1
1140,9
1141,0
1142,0
1143,1
1144,1
1145,2
1146,3
1147,9
1148,3
1149,7
1150,3
1151,9
1152,7
1153,1
1154,1
1155,1
1156,9
1157,1
1158,1
1159,9
1160,2
1161,9
1162,1
1163,2
1164,0
1165,6
1166,9
1167,1
1168,2
1169,9
1170,1
1171,3
1172,2
1173,9
1174,1
1175,9
1176,2
1177,2
1178,7
1179,2
1180,5
1181,9
1182,8
1183,4
1184,9
1185,3
1186,7
1187,0
1188,3
1189,0
1190,9
1191,7
1192,3
1193,9
1194,9
1195,8
1196,9
1197,3
1198,8
1199,3
1200,4
1201,4
1202,9
1203,9
1204,9
1205,1
1206,1
1207,9
1208,6
1209,4
1210,0
1211,1
1212,1
1213,3
1214,9
1215,1
1216,7
1217,1
1218,1
